id,name,country_code
59420,VICTOR SVENDSEN,DEN
59472_78935,BJARNE GEISS /  JAN COLIN VOELKER,GER
59543,ARNAUD MERKLE,FRA
59566,JENJIRA STADELMANN,SUI
59578_98466,NATAN BEGGA /  BAPTISTE LABARTHE,FRA
59609_59709,LIU KUANG HENG /  YANG PO HAN,TPE
59609_82732,LIU KUANG HENG /  JHENG YU CHIEH,TPE
59673_61160,HE JI TING /  ZHOU HAO DONG,CHN
59673_84812,HE JI TING /  REN XIANG YU,CHN
59687,UNNATI HOODA,IND
59692,DISHA GUPTA,USA
59871_82120,LUDWIG AXELSSON /  JESSICA SILVENNOINEN,SWE
59943_90857,WANG SZU-MIN /  WU MENG CHEN,TPE
60397,TEREZA ŠVÁBÍKOVÁ,CZE
60427,TOBIAS KUENZI,SUI
60507_58324,MADS VESTERGAARD /  CHRISTINE BUSCH,DEN
60896_79052,LU CHEN /  PO LI-WEI,TPE
60980_17515,ROHAN KAPOOR /  REDDY SIKKI,IND
60980_69619,ROHAN KAPOOR /  GADDE RUTHVIKA SHIVANI,IND
61095_79159,ABBYGAEL HARRIS /  ANNIE LADO,ENG
61222_63966,BRYAN JEREMY GOONTING /  M FAZRIQ MOHAMAD RAZIF,MAS
61423,JAN LOUDA,CZE
61427,TAI TZU YING,TPE
61443_83786,FATIMA BEATRIZ CENTENO FUENTES /  DANIELA HERNANDEZ,ESA
61444_99778,KIM WON HO /  JEONG NA EUN,KOR
61568,SAENA KAWAKAMI,JPN
61614,TUNG CIOU-TONG,TPE
61628,TOMA JUNIOR POPOV,FRA
61731_67158,DECHAPOL PUAVARANUKROH /  SAPSIREE TAERATTANACHAI,THA
61731_74980,DECHAPOL PUAVARANUKROH /  SUPISSARA PAEWSAMPRAN,THA
61834_87270,LOW HANG YEE /  NG ENG CHEONG,MAS
61854,WANG ZHI YI,CHN
61882_65708,FRANCESCA CORBETT /  ALLISON LEE,USA
61897_59857,ROBERT CYBULSKI /  SZYMON SLEPECKI,POL
61941_77380,DOMINIKA KWASNIK /  KORNELIA MARCZAK,POL
61949,VIVIEN SANDORHAZI,HUN
61986_95205,NG TSZ YAU /  TSANG HIU YAN,HKG
62018,RIKU HATANO,JPN
62035_92945,WANG TING GE /  WANG YI DUO,CHN
62063,KODAI NARAOKA,JPN
62110_82405,AMY ACKERMAN /  DEIDRE LAURENS,RSA
62282_68061,LAW CHEUK HIM /  YEUNG SHING CHOI,HKG
62286,JORAN KWEEKEL,NED
62301,LALINRAT CHAIWAN,THA
62385,THET HTAR THUZAR,MYA
62395,SHOGO OGAWA,JPN
62426_73023,BENGISU ERCETIN /  NAZLICAN INCI,TUR
62542_56042,ARLYA NABILA THESA MUNGGARAN /  AZ ZAHRA DITYA RAMADHANI,INA
62570_63539,ANNA CHING YIK CHEONG /  TEOH MEI XING,MAS
62618_61882,CHEN ZHI YI /  FRANCESCA CORBETT,USA
62618_63739,CHEN ZHI YI /  PRESLEY SMITH,USA
62639_84202,HUNG EN-TZU /  LIN YU-PEI,TPE
62713_70860,NICOLE GONZALES CHAN /  YANG CHU YUN,TPE
62720,MITHUN MANJUNATH,IND
62855,RASMUS GEMKE,DEN
62932,RAGHU MARISWAMY,IND
63029_57246,JIANG ZHEN BANG /  WEI YA XIN,CHN
63053_99429,SOLOMON JR. PADIZ /  ELEANOR CHRISTINE INLAYO,PHI
63122,BRIAN YANG,CAN
63140_81649,ILIYAN STOYNOV /  HRISTOMIRA POPOVSKA,BUL
63161_90612,MIHAJLO TOMIC /  ANDJELA VITMAN,SRB
63170,HARRY HUANG,ENG
63389_72084,DANIEL HESS /  PATRICK VOLKMANN,GER
63437,LINE HØJMARK KJAERSFELDT,DEN
63493_88450,KENG SHU LIANG /  ZHANG CHI,CHN
63520_94430,RAHMAT HIDAYAT /  YEREMIA ERICH YOCHE YACOB RAMBITAN,INA
63530_91600,HIROKI NISHI /  AKARI SATO,JPN
63571_60838,ADNAN MAULANA /  NITA VIOLINA MARWAH,INA
63571_83699,ADNAN MAULANA /  INDAH CAHYA SARI JAMIL,INA
63670_99397,LUI CHUN WAI /  FU CHI YAN,HKG
63683_86226,TY ALEXANDER LINDEMAN /  JOSEPHINE WU,CAN
63739_65708,PRESLEY SMITH /  ALLISON LEE,USA
63966_98812,M FAZRIQ MOHAMAD RAZIF /  WONG VIN SEAN,MAS
64032,KUNLAVUT VITIDSARN,THA
64055,CHIARA MARVELLA HANDOYO,INA
64064_65221,SHUNTARO MEZAKI /  HARUYA NISHIDA,JPN
64081,LIAO JHUO-FU,TPE
64306,CHENG KAI,TPE
64349,KOMANG AYU CAHYA DEWI,INA
64389,TIFFANY HO,AUS
64394_96097,CHEN CHENG KUAN /  CHEN SHENG FA,TPE
64394_96973,CHEN CHENG KUAN /  HSU YIN-HUI,TPE
64646_55668,JACOBO FERNANDEZ /  PAULA LOPEZ,ESP
64648,NGUYEN HAI DANG,VIE
64666,VIREN NETTASINGHE,SRI
64682_71432,TANADON PUNPANICH /  WACHIRAWIT SOTHON,THA
64729_57731,RASMUS KJÆR /  FREDERIK SØGAARD,DEN
64766_31614,MARIIA STOLIARENKO /  YELYZAVETA ZHARKA,UKR
64839,GEORGES JULIEN PAUL,MRI
64839_42679,GEORGES JULIEN PAUL /  KATE FOO KUNE,MRI
64917_67964,JAKUB MELANIUK /  WIKTOR TRECKI,POL
64944_55417,HIROKI MIDORIKAWA /  NATSU SAITO,JPN
64956,MUTIARA AYU PUSPITASARI,INA
65057_89214,HUNG HSIN EN /  HUNG YU- EN,TPE
65121_84323,ALINE MÜLLER /  CAROLINE RACLOZ,SUI
65144_78837,JIA YI FAN /  LI WEN MEI,CHN
65203_82408,LIN XIAO MIN /  WANG YU QIAO,TPE
65212_68282,NAMI MATSUYAMA /  CHIHARU SHIDA,JPN
65224_60767,TING SHIH WEE OWEN /  GAN JING ERR,MAS
65267_89426,FENG YAN ZHE /  HUANG DONG PING,CHN
65540,ROSY OKTAVIA PANCASARI,FRA
65580,JEON HYEOK JIN,KOR
65634,JASON GUNAWAN,HKG
65674_56460,PAKKAPON TEERARATSAKUL /  PHATAIMAS MUENWONG,THA
65854_69193,JAFAR HIDAYATULLAH /  FELISHA ALBERTA NATHANIEL PASARIBU,INA
65854_79077,JAFAR HIDAYATULLAH /  AISYAH SALSABILA PUTRI PRANATA,INA
66115_87473,LEE YU LIM /  SHIN SEUNG CHAN,KOR
66267_75821,KATI-KREET KÄSNER /  HELINA RÜÜTEL,EST
66290,TANYA HEMANTH,IND
66357_67176,ROBIN TABELING /  SELENA PIEK,NED
66362_96990,TIDAPRON KLEEBYEESUN /  NATTAMON LAISUAN,THA
66513_93074,SEO SEUNG JAE /  CHAE YU JUNG,KOR
67069,KSENIA POLIKARPOVA,ISR
67373_70503,DEBORA JILLE /  CHERYL SEINEN,NED
67447,MARKUS BARTH,NOR
67654_47007,TAN KIAN MENG /  LAI PEI JING,MAS
67654_52071,TAN KIAN MENG /  TAN WEE KIONG,MAS
67789_60167,CHENG YU-PEI /  SUN YU HSING,TPE
67810_61444,CHOI SOL GYU /  KIM WON HO,KOR
67810_68718,CHOI SOL GYU /  HEO KWANG HEE,KOR
67828,MANAMI SUIZU,JPN
67922_85159,ALEXANDER DUNN /  ADAM HALL,SCO
67922_91715,ALEXANDER DUNN /  JULIE MACPHERSON,SCO
67949_88322,JUNAIDI ARIF /  ROY KING YAP,MAS
67996,YULIA YOSEPHINE SUSANTO,INA
68015_75864,YEUNG NGA TING /  YEUNG PUI LAM,HKG
68045_64909,MARK LAMSFUSS /  MARVIN SEIDEL,GER
68045_98052,MARK LAMSFUSS /  ISABEL LOHAU,GER
