Player_SK,Player_ID,Player_Name,Country_Code
100,59068_58337,JOSHUA MAGEE /  MOYA RYAN,IRL
101,59068_92985,JOSHUA MAGEE /  PAUL REYNOLDS,IRL
102,59077,KUO KUAN LIN,TPE
103,59160_77589,TOM LALOT TRESCARTE /  ELSA JACOB,FRA
104,59319_66115,KIM YOUNG HYUK /  LEE YU LIM,KOR
105,59319_72646,KIM YOUNG HYUK /  WANG CHAN,KOR
106,59322,LEE CHIA HAO,TPE
107,59367,KARUPATHEVAN LETSHANAA,MAS
108,59420,VICTOR SVENDSEN,DEN
109,59472_78935,BJARNE GEISS /  JAN COLIN VOELKER,GER
110,59543,ARNAUD MERKLE,FRA
111,59566,JENJIRA STADELMANN,SUI
112,59578_98466,NATAN BEGGA /  BAPTISTE LABARTHE,FRA
113,59609_59709,LIU KUANG HENG /  YANG PO HAN,TPE
114,59609_82732,LIU KUANG HENG /  JHENG YU CHIEH,TPE
115,59673_61160,HE JI TING /  ZHOU HAO DONG,CHN
116,59673_84812,HE JI TING /  REN XIANG YU,CHN
117,59687,UNNATI HOODA,IND
118,59692,DISHA GUPTA,USA
119,59871_82120,LUDWIG AXELSSON /  JESSICA SILVENNOINEN,SWE
120,59943_90857,WANG SZU-MIN /  WU MENG CHEN,TPE
121,60397,TEREZA ŠVÁBÍKOVÁ,CZE
122,60427,TOBIAS KUENZI,SUI
123,60507_58324,MADS VESTERGAARD /  CHRISTINE BUSCH,DEN
124,60896_79052,LU CHEN /  PO LI-WEI,TPE
125,60980_17515,ROHAN KAPOOR /  REDDY SIKKI,IND
126,60980_69619,ROHAN KAPOOR /  GADDE RUTHVIKA SHIVANI,IND
127,61095_79159,ABBYGAEL HARRIS /  ANNIE LADO,ENG
128,61222_63966,BRYAN JEREMY GOONTING /  M FAZRIQ MOHAMAD RAZIF,MAS
129,61423,JAN LOUDA,CZE
130,61427,TAI TZU YING,TPE
131,61443_83786,FATIMA BEATRIZ CENTENO FUENTES /  DANIELA HERNANDEZ,ESA
132,61444_99778,KIM WON HO /  JEONG NA EUN,KOR
133,61568,SAENA KAWAKAMI,JPN
134,61614,TUNG CIOU-TONG,TPE
135,61628,TOMA JUNIOR POPOV,FRA
136,61731_67158,DECHAPOL PUAVARANUKROH /  SAPSIREE TAERATTANACHAI,THA
137,61731_74980,DECHAPOL PUAVARANUKROH /  SUPISSARA PAEWSAMPRAN,THA
